category,agency,account,project,recipient,location,state,budget_request,additional_amount,amount,origination,requestor_one_full_name,requestor_one_bioguide_id,requestor_one_chamber,requestor_one_party,requestor_two_full_name,requestor_two_bioguide_id,requestor_two_chamber,requestor_two_party,requestor_three_full_name,requestor_three_bioguide_id,requestor_three_chamber,requestor_three_party,requestor_four_full_name,requestor_four_bioguide_id,requestor_four_chamber,requestor_four_party,requestor_five_full_name,requestor_five_bioguide_id,requestor_five_chamber,requestor_five_party,requestor_six_full_name,requestor_six_bioguide_id,requestor_six_chamber,requestor_six_party,requestor_seven_full_name,requestor_seven_bioguide_id,requestor_seven_chamber,requestor_seven_party,requestor_eight_full_name,requestor_eight_bioguide_id,requestor_eight_chamber,requestor_eight_party,requestor_nine_full_name,requestor_nine_bioguide_id,requestor_nine_chamber,requestor_nine_party
"Agriculture, Rural Development, Food and Drug Administration, and Related Agencies",Animal and Plant Health Inspection Service,APHIS S&E,Statewide Pest Surveys,Alaska Division of Agriculture,,AK,,,100000,S,Lisa Murkowski,M001153,sen,Republican,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Agriculture, Rural Development, Food and Drug Administration, and Related Agencies",Animal and Plant Health Inspection Service,APHIS S&E,Feral Swine Management,Arkansas Department of Agriculture,,AR,,,650000,S,John Boozman,B001236,sen,Republican,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Agriculture, Rural Development, Food and Drug Administration, and Related Agencies",Animal and Plant Health Inspection Service,APHIS S&E,Invasive Species Surveillance,Hawaii Department of Land and Natural Resources,,HI,,,600000,S,Mazie K. Hirono,H001042,sen,Democrat,Brian Schatz,S001194,sen,Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Agriculture, Rural Development, Food and Drug Administration, and Related Agencies",Animal and Plant Health Inspection Service,APHIS S&E,Kula Agricultural Fencing,Maui Office of Economic Development,,HI,,,600000,S,Brian Schatz,S001194,sen,Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Agriculture, Rural Development, Food and Drug Administration, and Related Agencies",Animal and Plant Health Inspection Service,APHIS S&E,O’Hare Federal Inspection Station,City of Chicago,,IL,,,250000,S,Richard J. Durbin,D000563,sen,Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Agriculture, Rural Development, Food and Drug Administration, and Related Agencies",Animal and Plant Health Inspection Service,APHIS S&E,Horse Management,Nevada Department of Agriculture,,NV,,,500000,S,Catherine Cortez Masto,C001113,sen,Democrat,Jacky Rosen,R000608,sen,Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Agriculture, Rural Development, Food and Drug Administration, and Related Agencies",Animal and Plant Health Inspection Service,APHIS S&E,New York Dairy Farms Antimicrobial Stewardship,New York Farm Viability Institute,,NY,,,180000,S,Kirsten E. Gillibrand,G000555,sen,Democrat,Charles E. Schumer,S000148,sen,Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Agriculture, Rural Development, Food and Drug Administration, and Related Agencies",Animal and Plant Health Inspection Service,APHIS S&E,Biorepository,Oklahoma Department of Agriculture,,OK,,,594000,S,James M. Inhofe,I000024,sen,Republican,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Agriculture, Rural Development, Food and Drug Administration, and Related Agencies",Rural Development,Community Facilities,Educational Facility Renovations,Sitka Sound Science Center,,AK,,,840000,S,Lisa Murkowski,M001153,sen,Republican,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Agriculture, Rural Development, Food and Drug Administration, and Related Agencies",Rural Development,Community Facilities,Matsu Food Bank Renovations,Matsu Food Bank,,AK,,,1500000,S,Lisa Murkowski,M001153,sen,Republican,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Agriculture, Rural Development, Food and Drug Administration, and Related Agencies",Rural Development,Community Facilities,Rodeo Drive Improvements,Town of Chino Valley,,AZ,,,240000,S,Kyrsten Sinema,S001191,sen,Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Agriculture, Rural Development, Food and Drug Administration, and Related Agencies",Rural Development,Community Facilities,Del Norte County Facility Improvements,Del Norte County Board of Supervisors,,CA,,,3080000,S,Dianne Feinstein,F000062,sen,Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Agriculture, Rural Development, Food and Drug Administration, and Related Agencies",Rural Development,Community Facilities,Inyo County Eastern Sierra Small Business Center,County of Inyo,,CA,,,205000,S,Dianne Feinstein,F000062,sen,Democrat,Alex Padilla,P000145,sen,Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Agriculture, Rural Development, Food and Drug Administration, and Related Agencies",Rural Development,Community Facilities,Community Justice Center,Lake County Board of County Commissioners,,CO,,,3575000,S,Michael F. Bennet,B001267,sen,Democrat,John W. Hickenlooper,H000273,sen,Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Agriculture, Rural Development, Food and Drug Administration, and Related Agencies",Rural Development,Community Facilities,Montrose County Courthouse Renovation,Montrose County,,CO,,,7725000,S,John W. Hickenlooper,H000273,sen,Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Agriculture, Rural Development, Food and Drug Administration, and Related Agencies",Rural Development,Community Facilities,Kwiyagat Community Academy K Through 5 Education Building,Ute Mountain Ute Tribe,,CO,,,2000000,S,Michael F. Bennet,B001267,sen,Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Agriculture, Rural Development, Food and Drug Administration, and Related Agencies",Rural Development,Community Facilities,Moffat County Courthouse,Moffat County,,CO,,,4650000,S,Michael F. Bennet,B001267,sen,Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Agriculture, Rural Development, Food and Drug Administration, and Related Agencies",Rural Development,Community Facilities,Fort Lewis College Regional Agriculture and Food Security,Fort Lewis College,,CO,,,159999,S,John W. Hickenlooper,H000273,sen,Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Agriculture, Rural Development, Food and Drug Administration, and Related Agencies",Rural Development,Community Facilities,Milton Theatre Capital Improvements,Calliope Project Inc,,DE,,,100000,S,Thomas R. Carper,C000174,sen,Democrat,Christopher A. Coons,C001088,sen,Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,
